Sample ID,Project ID,Sample type,Longtitude,Latitude ,87Sr/86Sr,SE
11,Z-11,plant,100.95264,35.902401,0.71094427,0.00000863 
O16,Hu-10,water,100.960218,35.898948,0.710968,0.00001738 
10,Z-10,plant,100.96083,35.898633,0.71097148,0.00000847 
O17,Hu-11,water,100.953755,35.902783,0.71099057,0.00001689 
OO4,He-1,water,100.978053,35.890848,0.71100137,0.00001707 
OO6,He-3,water,100.907228,35.936921,0.71100225,0.00001791 
O12,Hu-6,water,100.98421,35.890747,0.71100978,0.00001406 
O13,Hu-7,water,100.980467,35.890149,0.71101713,0.00001425 
O15,Hu-9-2,water,100.967815,35.893568,0.71101787,0.00001372 
O10,Hu-4,water,101.069916,35.868404,0.7110228,0.00002296 
OO8,Hu-2,water,101.074018,35.86687,0.71102536,0.00001651 
O14,Hu-9-1,water,100.969418,35.893145,0.71102558,0.00001602 
2,He-2,plant,100.977635,35.890909,0.71102611,0.00000666 
8,Z-8,plant,100.968327,35.893144,0.71103265,0.00000803 
OO5,He-2,water,100.978058,35.890848,0.71105201,0.00002449 
OO6,He-3,water,100.907228,35.936921,0.71107022,0.00001604 
30,Z-30,plant,100.92713,35.918408,0.71107605,0.00000677 
1,He-1,plant,100.977608,35.890764,0.71107701,0.00000806 
OO1,J-1,water,101.104812,35.849501,0.71109292,0.00002076 
16,Z-16,plant,100.900201,35.943787,0.711095,0.00000716 
OO7,Hu-1,water,101.076274,35.865804,0.71111113,0.00002036 
13,Z-13,plant,100.926982,35.924238,0.71111524,0.00000520 
19,Z-19,plant,100.872502,35.959276,0.71111696,0.00000461 
6,Z-6,plant,100.979974,35.890084,0.71111781,0.00000780 
OO9,H-3,water,101.070511,35.867606,0.71111915,0.00001650 
OO3,Y-1,water,101.075366,35.866411,0.71112206,0.00001510 
41,Z-41,plant,100.83928,35.984423,0.71113256,0.00001953 
7,Z-7,plant,100.981739,35.892193,0.71113995,0.00000659 
14,Z-14,plant,100.922288,35.930455,0.71114161,0.00000805 
15,Z-15,plant,100.907535,35.936927,0.71114754,0.00000913 
33,Z-33,plant,100.932885,35.920186,0.71114895,0.00000697 
18,Z-18,plant,100.881595,35.954784,0.71115129,0.00000537 
4,Z-4,plant,100.838687,35.985036,0.7111556,0.00000627 
20,Z-20,plant,100.86414,35.966036,0.71115776,0.00000906 
3,Z-3,plant,100.83837,35.983023,0.7111667,0.00006750 
48,Z-48,plant,100.835732,35.983441,0.71116691,0.00001090 
5,Z-5,plant,100.839048,35.985508,0.71116721,0.00000443 
22,Z-22,plant,100.844535,35.978063,0.71117244,0.00000492 
17,Z-17,plant,100.891976,35.950597,0.71117966,0.00000664 
42,Z-42,plant,100.833497,35.984507,0.71119201,0.00000815 
26,Z-26,plant,100.829455,35.998165,0.71119264,0.00000635 
32,Z-32,plant,100.837112,35.982888,0.7111954,0.00000670 
23,Z-23,plant,100.83991,35.98117,0.71119896,0.00000446 
47,Z-47,plant,100.836162,35.981965,0.71121118,0.00000649 
OO2,J-4,water,100.842768,35.9813,0.71121455,0.00000847 
24,Z-24,plant,100.843939,35.979686,0.71121575,0.00000484 
ZBKF1,,bone,100.837778,35.985556,0.71121735,0.00001141 
ZBKF2,,bone,100.837778,35.985556,0.71121864,0.00000993 
12,Z-12,plant,100.938125,35.914907,0.71121976,0.00000652 
21,Z-21,plant,100.853246,35.970476,0.71122291,0.00000501 
36,Z-36,plant,100.834862,35.984824,0.71122652,0.00000511 
35,Z-35,plant,100.838826,35.978455,0.7112266,0.00000776 
44,Z-44,plant,100.83385,36.005177,0.7112399,0.00000577 
37,Z-37,plant,100.837564,35.980355,0.7112409,0.00001202 
31,Z-31,plant,100.828566,35.987049,0.71124461,0.00000682 
34,Z-34,plant,100.834637,35.984055,0.71124667,0.00000579 
29,Z-29,plant,100.828543,35.986919,0.71124887,0.00000669 
43,Z-43,plant,100.834735,36.003245,0.71124976,0.00001020 
38,Z-38,plant,100.836771,35.981285,0.7112507,0.00000714 
37,Z-37,plant,100.837564,35.980355,0.71125883,0.00000557 
28,Z-28,plant,100.827164,35.991607,0.71126305,0.00000538 
25,Z-25,plant,100.829497,35.998586,0.71126883,0.00000573 
40,Z-40,plant,100.835104,35.983478,0.71127486,0.00000538 
49,Z-49,plant,100.831062,35.984859,0.71127579,0.00000669 
27,Z-27,plant,100.833752,36.005764,0.71127593,0.00002472 
39,Z-39,plant,100.839308,35.984188,0.71127975,0.00000560 
46,Z-46,plant,100.834419,36.000358,0.71130104,0.00000580 
45,Z-45,plant,100.837026,35.999222,0.71147548,0.00000805 
